LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
15,MIZORAM,262,CHAMPHAI,796321.0,23/11/2021,Tbc Motor Parts,"1, B.Hranghlira, Near  circuit house, 1, 1, Champhai","[{""NIC5DigitId"":""45300"",""Description"":""Sale of motor vehicle parts and accessories""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/03/2022,ZOSIAMTHANGI,"C DENGA COLONY, C DENGA COLONY, ELECTRIC VENG, C DENGA COLONY, ELECTRIC VENG, CHAMPHAI","[{""NIC5DigitId"":""41001"",""Description"":""Construction of buildings carried out on own-account basis or on a fee or contract basis""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,04/07/2022,DAWNGTEI HANDLOOM,"H/No.- A-192, C Lalrovela Building, College Road, H/No.- A-192, Rahsi Veng, Champhai","[{""NIC5DigitId"":""13121"",""Description"":""Weaving, manufacture of cotton and cotton mixture fabrics.""},{""NIC5DigitId"":""13123"",""Description"":""Weaving, manufacture of wool and wool mixture fabrics.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,26/11/2022,Thansanga grape huan,"41, Thansanga building, Ramthar, 41, Chaphai, Hnahlan","[{""NIC5DigitId"":""11020"",""Description"":""Manufacture of wines""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,28/11/2022,MAFAKI ENTERPRISE,"H/N 110, Vanlalvunga&#39;s Building, NEAR RAJPUT, H/N 110, RUANTLANG, CHAMPHAI","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
15,MIZORAM,262,CHAMPHAI,796290.0,02/12/2021,N LALMALSAWMA,"HRIANGHMUN, HRIANGHMUN, HRIANGHMUN, HRIANGHMUN, HRIANGHMUN, NGOPA","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
15,MIZORAM,262,CHAMPHAI,796320.0,28/11/2021,Mesak Mobile Repairing,"H/No. 13, Nichunga and Son, Khawbung road, H/No. 13, Khawbung, Chmaphai","[{""NIC5DigitId"":""33140"",""Description"":""Repair of electrical equipment""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,15/01/2022,Jh RAMDINTHARA,"045, TLANGSAM, NEAR PRIMARY SCHOOL, 045, VENGTHALNG, CHAMPHAI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,27/01/2022,VL MALSAWMI,"H NO 263, AWMPUI VENG, VENGTHLANG, H NO 263, VENGTHLANG, CHAMPHAI","[{""NIC5DigitId"":""47599"",""Description"":""Retail sale of other household appliances n.e.c. ( security systems, such as locking devices, safes, and vaults, without installation or maintenance services etc. , wooden, cork and wickerwork goods, sewing and knitting machine and other household utensils and durables n.e.c.)""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,13/01/2022,R ZOMUANPUII,"H NO 71, ZION VENG, ZION VENG, H NO 71, NEAR GOVT PRIMARY SCHOOL, CHAMPHAI","[{""NIC5DigitId"":""14109"",""Description"":""Manufacture of wearing apparel n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321,05/10/2021,RTC. RAMTHARNGHAKA,"22, RTC.  RAMTHARNGHAKA, MUALVENG, 22, MUALVENG, CHAMPHAI","[{""NIC5DigitId"":""53200"",""Description"":""Courier activities""}]"
15,MIZORAM,262,CHAMPHAI,796320,04/06/2022,Lalbiakliana,"003, Chhim veng, Near PCI church, 003, 003, Champhai","[{""NIC5DigitId"":""45403"",""Description"":""Maintenance and repair of motor cycles, mopeds, scooters and three wheelers""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,04/02/2022,Ngaihte Handloom,"1st Floor, Ngaihte Handloom, UD&PA Road, 1st Floor, Champhai, Champhai","[{""NIC5DigitId"":""13121"",""Description"":""Weaving, manufacture of cotton and cotton mixture fabrics.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,07/12/2021,OK Automobiles,"E-1105, Matluanga Building, Electric Veng, E-1105, I, Champhai","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
15,MIZORAM,262,CHAMPHAI,796310.0,11/11/2021,Ramhlunsiama,"HOUSE NO 47, VENGCHHAK, NEAR SUB CENTRE, HOUSE NO 47, NEIHDAWN, CHAMPHAI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,08/08/2022,MAPARKA AUTO CENTRE,"GROUND FLOOR, ZOTLANG DAWR KAWN, DAWR KAWN, GROUND FLOOR, Z SECTION, CHAMPHAI","[{""NIC5DigitId"":""45300"",""Description"":""Sale of motor vehicle parts and accessories""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/04/2022,Fashion Corner,"43 Dawr kawn, ZOTLANG, Dawr kawn, 43 Dawr kawn, Champhai, Zotlang","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""47713"",""Description"":""Retail sale of footwear""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,13/07/2022,KC Dawr,"Z75, KC BUILDING, ZION VENG, Z75, CHAMOHAI, CHAMPHAI","[{""NIC5DigitId"":""10712"",""Description"":""Manufacture of biscuits, cakes, pastries, rusks etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,17/10/2022,MELODY STORE,"1st Floor, Melody Store, Tlangsam Road, 1st Floor, Champhai, Champhai","[{""NIC5DigitId"":""46411"",""Description"":""Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,22/08/2022,FIRST STAR,"BAZAR, RAHSI VENG, BAZAR, BAZAR, BAZAR, CHAMPHAI","[{""NIC5DigitId"":""46419"",""Description"":""Wholesale of other clothing items n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,09/04/2022,Simply Me Skin,"D-161, Ralte Building, Champhai, D-161, Vengthlang, Vengthlang","[{""NIC5DigitId"":""20237"",""Description"":""Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,29/11/2022,Six Brothers,"-, New Champhai, New Champhai, -, Y-Section, Champhai","[{""NIC5DigitId"":""16291"",""Description"":""Manufacture of wooden industrial goods""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/12/2021,LIANA STORE,"NEAR TOURIST LODGE, TAITESENA SECTION, NEAR TOURIST LODGE, NEAR TOURIST LODGE, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47214"",""Description"":""Retail sale of bakery products, dairy products and eggs""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,03/10/2022,Champhai Cable Network,"H.No. - 52, Pasaltha Building, Rahsi Veng Bazar Road, H.No. - 52, Champhai, Champhai","[{""NIC5DigitId"":""93210"",""Description"":""Activities of amusement parks and theme parks""},{""NIC5DigitId"":""43212"",""Description"":""Installation of telecommunications wiring, computer network and cable television wiring, including fibre optic, satellite dishes""},{""NIC5DigitId"":""60200"",""Description"":""This class includes creation""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,28/07/2022,HAUCHINMUNGA,"174, NEAR TOURIST LODGE, TAITESENA SECTION, 174, CHAMPHAI, ZOKHAWTHAR","[{""NIC5DigitId"":""10304"",""Description"":""Manufacture of fruit or vegetable juices and their concentrates, squashes and powder""}]"
15,MIZORAM,262,CHAMPHAI,796320.0,15/10/2021,David Lalringa,"92, David Lalringa, T-Section, 92, Champhai, Champhai","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,22/04/2022,Jenny Enterprise,"2nd Floor, Zahau Run, Venglai School Road, 2nd Floor, Champhai, Champhai","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""46309"",""Description"":""Wholesale of other basic\/manufactured food stuffs n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/10/2021,M/S ZS ENTERPRISE,"VENGLAI, NEAR STATE BANK OF INDIA, BETHEL ROAD, VENGLAI, VENGLAI, CHAMPHAI","[{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
15,MIZORAM,262,CHAMPHAI,796001.0,31/03/2022,PUIPUI STORE,"G-8, DAWRPUI, DAWRPUI, G-8, G-8, AIZAWL","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,14/10/2021,THANG CHHUANLIANA,"23, THANG CHHUANLIANA, Sesih, 23, Sesih, Champhai","[{""NIC5DigitId"":""49232"",""Description"":""Non-motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796320.0,22/07/2022,Grocery store,"148, Farkawn, Mual veng Farkawn, 148, 148, Champhai","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,18/01/2022,CHHAKCHHUAK STORE,"H NO 12, DAWR VENG, DAWR VENG, H NO 12, VENGTHLANG, CHAMPHAI","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,13/11/2021,NANGKHANTINA,"HOUSE NO.278-A, BETHEL VENG, CHAMPHAI, HOUSE NO.278-A, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,18/01/2022,RC RESTAURANT,"H NO 48, DAWR VENG, DAWR VENG, H NO 48, VENGTHLANG, CHAMPHAI","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,28/10/2021,C LALROTLUANGI,"VENGTHLANG, NEAR SBI OFFICE, C DENGA COLONY, VENGTHLANG, VENGTHLANG, CHAMPHAI","[{""NIC5DigitId"":""46208"",""Description"":""Wholesale of sugarcane""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,28/10/2020,LOYALTY STORE,"2, Dawrveng, Vengthlangah, 2, 2, Champhai","[{""NIC5DigitId"":""73100"",""Description"":""Advertising""}]"
15,MIZORAM,262,CHAMPHAI,796320.0,26/05/2022,TC Lalremruati,"48, Tlaichhun, Mual veng, 48, Near pci church, Champhai","[{""NIC5DigitId"":""13121"",""Description"":""Weaving, manufacture of cotton and cotton mixture fabrics.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,30/06/2022,Puipui Bake house,"16A, Laldenga Building, Kanan veng, 16A, Champhai, Champhai","[{""NIC5DigitId"":""10712"",""Description"":""Manufacture of biscuits, cakes, pastries, rusks etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,12/07/2022,LRM SOFA,"1, ZOTLANG DAWRKAWN, Z SECTION, 1, DAWRKAWN, CHAMPHAI","[{""NIC5DigitId"":""46493"",""Description"":""Wholesale of furniture and fixtures""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,03/11/2021,ZOAWI STREAMS AND RECORDS,"203, SAILO RUN, VENGSANG NORTH, 203, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""},{""NIC5DigitId"":""90009"",""Description"":""Other creative arts and and entertainment activities""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,21/12/2023,PARTEI STORE,"170, Venglai, Near Selluaia traffic point, 170, Champhai, Champhai","[{""NIC5DigitId"":""47740"",""Description"":""Retail sale of second-hand goods""}]"
15,MIZORAM,262,CHAMPHAI,796321,18/06/2024,DIMLIANKIMI,"BETHEL VENG, BETHEL VENG, BETHEL VENG, BETHEL VENG, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,14/12/2021,H LALBIAKLIANA,"HNAHLAN, HNAHLAN, NEAR TUIKHURPUI, HNAHLAN, HNAHLAN, CHAMPHAI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,06/02/2024,EYE CARE CLINIC,"GROUND FLOOR, F VANLALROSANGA, VENGTHLANG NAZARETH VENG, GROUND FLOOR, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47721"",""Description"":""Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,04/12/2023,LALRINCHHUANGI,"CHAWNGBAWLA SECTION, CHAWNGBAWLA SECTION, CHAWNGBAWLA SECTION, CHAWNGBAWLA SECTION, TLANGSAM, CHAMPHAI","[{""NIC5DigitId"":""01493"",""Description"":""Raising of silk worms, production of silk worm cocoons""}]"
15,MIZORAM,262,CHAMPHAI,796321,17/05/2024,Mami Variety Store,"Zote, Lairemsanga, Zote, Zote, Champhai, Champhai","[{""NIC5DigitId"":""46499"",""Description"":""Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]""}]"
15,MIZORAM,262,CHAMPHAI,796321,13/05/2024,Vanlalhlimpuia,"-, Electric Veng Champhai, Electric Veng Champhai, -, -, Champhai","[{""NIC5DigitId"":""82990"",""Description"":""Other business support service activities n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796009.0,15/11/2023,M/S VRS CONSTRUCTION,"t-111, VRS Construction Ration lakna bul, Tuikhuahtlang, PWD Road, t-111, -, AIZAWL","[{""NIC5DigitId"":""47739"",""Description"":""Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,30/11/2023,LALLAWMZUALI,"VENGTHLANG, VENGTHLANG, VENGTHLANG, VENGTHLANG, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,09/11/2021,LALRUATSANGA,"zotlang, zotlang, champhai, zotlang, champhai, champhai","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,25/11/2021,Champhai Mobile House,"1st Floor, Kapmawia Building, Dawr Veng Street, 1st Floor, Champhai, Champhai","[{""NIC5DigitId"":""47414"",""Description"":""Retail sale of telecommunication equipment""},{""NIC5DigitId"":""46524"",""Description"":""Wholesale of telephone, mobile phone and communications equipment and parts""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,04/07/2022,HVS Futsal,"Ground, H.Rothangliana, Zotlang road, Ground, Champhai South, Champhai","[{""NIC5DigitId"":""93290"",""Description"":""Other amusement and recreation activities n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,30/06/2022,Making Bakery,"87, Sobji Bazar, Chanmari, 87, Champhai, Champhai","[{""NIC5DigitId"":""10712"",""Description"":""Manufacture of biscuits, cakes, pastries, rusks etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,01/12/2023,Chami Store,"-, BETHEL, BETHEL KAWN, -, -, CHAMPHAI","[{""NIC5DigitId"":""46499"",""Description"":""Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,14/02/2024,V Douliana store,"Bethel south, V Douliana, Bethel, Bethel south, Champhai, Champhai","[{""NIC5DigitId"":""46493"",""Description"":""Wholesale of furniture and fixtures""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,24/02/2024,RONDO COLLECTION,"Ground Floor, Roengliana Building, Rahsi Veng Street, Ground Floor, Champhai, Champhai","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,06/11/2023,RC WHOLESALE,"178, RC WHOLESALE, M SECTION, 178, ZOTLANG, CHAMPHAI","[{""NIC5DigitId"":""46304"",""Description"":""Wholesale of confectionery, bakery products and beverages other than intoxicants""},{""NIC5DigitId"":""46305"",""Description"":""Wholesale of edible oils, fats, sugar and processed\/manufactured spices etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/11/2023,RST STORE,"-, VENGLAI, VENGLAI, -, -, CHAMPHAI","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,05/02/2024,MAREMA STEEL FABRICATION,"BETHEL VENG, BETHEL VENG, BETHEL VENG, BETHEL VENG, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""41003"",""Description"":""Assembly and erection of prefabricated constructions on the site""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,23/11/2023,RUAT RUAT VARIETY STORE,"-, BETHEL, BETHEL KAWN, -, -, CHAMPHAI","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,10/12/2022,khualsim food corner,"VENGSANG, VENGSANG, vengsang, VENGSANG, CHAmphai, CHAMPHAI","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,06/09/2022,East-End Motor Works,"H. No. - T-93, R. Lalzamliana Building, L.M. School Road, H. No. - T-93, Champhai, Champhai","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""},{""NIC5DigitId"":""45402"",""Description"":""Wholesale or retail sale of parts and accessories of motorcycles, mopeds, scooters and three wheelers""},{""NIC5DigitId"":""45403"",""Description"":""Maintenance and repair of motor cycles, mopeds, scooters and three wheelers""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,31/01/2023,LAWMZUAL AUTO WORKS,"VENGTHAR, VENGTHAR, VENGTHAR, VENGTHAR, CHAMPHAI, AIZAWL","[{""NIC5DigitId"":""33121"",""Description"":""Repair and maintenance of engines and turbines excluding aircraft, vehicle and cycle engines""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,10/12/2022,B&D ENTERPRISE,"2, VENGTHLANG, YMA RUN BUL, 2, D, CHAMPHAI","[{""NIC5DigitId"":""46493"",""Description"":""Wholesale of furniture and fixtures""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,16/02/2024,Vanlalramdinthara,"227A, Bethel, Bethel Forest Office, 227A, Near, Champhai","[{""NIC5DigitId"":""74909"",""Description"":""Other professional, scientific and technical activities n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,27/02/2023,BIAKI ENTERPRISE,"No. - 52, Laltanpuia Building, Presbyterian Church Road, No. - 52, Champhai, Champhai","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,21/01/2023,MAMI PUANTHUI DAWR,"NA, ZOTLANG, ZOTLANG, NA, NA, CHAMPHAI","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,28/02/2023,KOLKATA TRENDS,"1, VENGSANG, VENGSANG, 1, D, CHAMPHAI","[{""NIC5DigitId"":""47820"",""Description"":""Retail sale via stalls and markets of textiles, clothing and footwear""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,07/12/2023,VANLALHRUAICHHUNGA HNAMTE,"LEITHUM, LEITHUM, LEITHUM, LEITHUM, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,27/01/2023,ZL VARIETY STORE,"NA, RUANTLANG, RUANTLANG, NA, NA, CHAMPHAI","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,19/12/2022,SH RICE SHOP,"NA, DINTHAR, DINTHAR, NA, NA, CHAMPHAI","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,19/12/2022,HRINGNGENN STORE,"DINTHAR, DINTHAR, DINTHAR, DINTHAR, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,07/01/2021,SAINAWTA ENTERPRISE,"-, -, -, -, -, Mizoram","[{""NIC5DigitId"":""24105"",""Description"":""Manufacture of hot -rolled and cold-rolled products of steel""},{""NIC5DigitId"":""24202"",""Description"":""Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys""},{""NIC5DigitId"":""24311"",""Description"":""Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron\/ cast-steel""},{""NIC5DigitId"":""25996"",""Description"":""Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes""},{""NIC5DigitId"":""27400"",""Description"":""Manufacture of electric lighting equipment""},{""NIC5DigitId"":""31009"",""Description"":""Manufacture of other furniture n.e.c.""},{""NIC5DigitId"":""32503"",""Description"":""Manufacture of medical, surgical, dental or veterinary furniture such as operating tables, examination tables, dentists’ chairs etc.""},{""NIC5DigitId"":""33113"",""Description"":""Repair and maintenance of metal tanks, reservoirs, containers, steel shipping drums etc.""},{""NIC5DigitId"":""43211"",""Description"":""Installation of electrical wiring and fittings""},{""NIC5DigitId"":""43219"",""Description"":""Other electrical electrical installation n.e.c.""},{""NIC5DigitId"":""33140"",""Description"":""Repair of electrical equipment""},{""NIC5DigitId"":""23912"",""Description"":""Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods""},{""NIC5DigitId"":""23921"",""Description"":""Manufacture of bricks""},{""NIC5DigitId"":""23954"",""Description"":""Manufacture of R.C.C. bricks and blocks""},{""NIC5DigitId"":""23960"",""Description"":""Cutting, shaping and finishing of stone""},{""NIC5DigitId"":""08103"",""Description"":""Quarrying of slate and building and monumental stone other than marble and granite""},{""NIC5DigitId"":""08106"",""Description"":""Operation of sand or gravel pits, basalt \/ porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction""},{""NIC5DigitId"":""17017"",""Description"":""Manufacture of hard board including false board and chip board""},{""NIC5DigitId"":""43302"",""Description"":""Interior completion such as ceilings, wooden wall coverings, movable partitions etc. ; Laying of parquet and other wood floor coverings, carpets and linoleum, wallpaper; tiling with ceramic, concrete or cut stone ceramic etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,08/09/2022,Chawngthu Variety Store,"V-9(C), Apuia building, Thana road, V-9(C), Champhai, Champhai","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,17/12/2022,C&D MOTOR WORKS,"KANAN, KANAN, KANAN, KANAN, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""45200"",""Description"":""Maintenance and repair of motor vehicles""}]"
15,MIZORAM,262,CHAMPHAI,796320.0,14/11/2023,LALROSANGI STORE,"79, Near Bazar, Fiara Section, 79, Khawbung, Aizawl","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,05/12/2023,RUATI STORE,"88, Kanan veng, Near presbyterian church, 88, Champhai, Champhai","[{""NIC5DigitId"":""47890"",""Description"":""Retail sale via stalls and markets of other goods""}]"
